LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
280206,NASSAU,SEAFORD UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,42,14%,30,10%,72,24.10%,ELEMENTARY,SCHOOL DISTRICT,1600 WASHINGTON AVE,SEAFORD,NY,11783,"1600 WASHINGTON AVE
SEAFORD, NY 11783
(40.683710315000496, -73.48504683299967)"
280206,NASSAU,SEAFORD UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,30,7.50%,20,5%,50,12.60%,MIDDLE/HIGH,SCHOOL DISTRICT,1600 WASHINGTON AVE,SEAFORD,NY,11783,"1600 WASHINGTON AVE
SEAFORD, NY 11783
(40.683710315000496, -73.48504683299967)"
280208,NASSAU,ROOSEVELT UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,150,16.60%,272,30%,422,46.60%,DISTRICT TOTAL,SCHOOL DISTRICT,240 DENTON PL,ROOSEVELT,NY,11575,"240 DENTON PL
ROOSEVELT, NY 11575
(40.68652625600049, -73.58157500599964)"
280208,NASSAU,ROOSEVELT UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,96,15.50%,199,32.20%,295,47.70%,ELEMENTARY,SCHOOL DISTRICT,240 DENTON PL,ROOSEVELT,NY,11575,"240 DENTON PL
ROOSEVELT, NY 11575
(40.68652625600049, -73.58157500599964)"
280208,NASSAU,ROOSEVELT UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,47,16.10%,83,28.40%,130,44.50%,MIDDLE/HIGH,SCHOOL DISTRICT,240 DENTON PL,ROOSEVELT,NY,11575,"240 DENTON PL
ROOSEVELT, NY 11575
(40.68652625600049, -73.58157500599964)"
280209,NASSAU,FREEPORT UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,397,14.60%,528,19.40%,925,34%,DISTRICT TOTAL,SCHOOL DISTRICT,235 N OCEAN AVE,FREEPORT,NY,11520,"235 N OCEAN AVE
FREEPORT, NY 11520
(40.66467231500047, -73.58882478999965)"
280209,NASSAU,FREEPORT UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,257,13.40%,370,19.30%,627,32.70%,ELEMENTARY,SCHOOL DISTRICT,235 N OCEAN AVE,FREEPORT,NY,11520,"235 N OCEAN AVE
FREEPORT, NY 11520
(40.66467231500047, -73.58882478999965)"
280209,NASSAU,FREEPORT UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,140,17.30%,158,19.50%,298,36.70%,MIDDLE/HIGH,SCHOOL DISTRICT,235 N OCEAN AVE,FREEPORT,NY,11520,"235 N OCEAN AVE
FREEPORT, NY 11520
(40.66467231500047, -73.58882478999965)"
280213,NASSAU,VALLEY STR HEMP 13 U F S,NASSAU-SUFFOLK,2012-2013,80,13.60%,93,15.80%,173,29.50%,DISTRICT TOTAL,SCHOOL DISTRICT,585 N CORONA AVE,VALLEY STREAM,NY,11580,"585 N CORONA AVE
VALLEY STREAM, NY 11580
(40.681072936000476, -73.68933657199966)"
280213,NASSAU,VALLEY STR HEMP 13 U F S,NASSAU-SUFFOLK,2012-2013,80,13.60%,93,15.80%,173,29.50%,ELEMENTARY,SCHOOL DISTRICT,585 N CORONA AVE,VALLEY STREAM,NY,11580,"585 N CORONA AVE
VALLEY STREAM, NY 11580
(40.681072936000476, -73.68933657199966)"
280213,NASSAU,VALLEY STR HEMP 13 U F S,NASSAU-SUFFOLK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,585 N CORONA AVE,VALLEY STREAM,NY,11580,"585 N CORONA AVE
VALLEY STREAM, NY 11580
(40.681072936000476, -73.68933657199966)"
280215,NASSAU,LAWRENCE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,170,17.30%,212,21.50%,382,38.80%,DISTRICT TOTAL,SCHOOL DISTRICT,195 BROADWAY,LAWRENCE,NY,11559,"195 BROADWAY
LAWRENCE, NY 11559
(40.61094277100045, -73.73491959999967)"
280215,NASSAU,LAWRENCE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,92,14.50%,131,20.60%,223,35.10%,ELEMENTARY,SCHOOL DISTRICT,195 BROADWAY,LAWRENCE,NY,11559,"195 BROADWAY
LAWRENCE, NY 11559
(40.61094277100045, -73.73491959999967)"
280215,NASSAU,LAWRENCE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,78,22.70%,81,23.50%,159,46.20%,MIDDLE/HIGH,SCHOOL DISTRICT,195 BROADWAY,LAWRENCE,NY,11559,"195 BROADWAY
LAWRENCE, NY 11559
(40.61094277100045, -73.73491959999967)"
280217,NASSAU,FRANKLIN SQ U F S,NASSAU-SUFFOLK,2012-2013,121,16.60%,49,6.70%,170,23.30%,DISTRICT TOTAL,SCHOOL DISTRICT,760 WASHINGTON ST,FRANKLIN SQUARE,NY,11010,"760 WASHINGTON ST
FRANKLIN SQUARE, NY 11010
(40.71163103400045, -73.66807471899966)"
280217,NASSAU,FRANKLIN SQ U F S,NASSAU-SUFFOLK,2012-2013,121,16.60%,49,6.70%,170,23.30%,ELEMENTARY,SCHOOL DISTRICT,760 WASHINGTON ST,FRANKLIN SQUARE,NY,11010,"760 WASHINGTON ST
FRANKLIN SQUARE, NY 11010
(40.71163103400045, -73.66807471899966)"
280217,NASSAU,FRANKLIN SQ U F S,NASSAU-SUFFOLK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,760 WASHINGTON ST,FRANKLIN SQUARE,NY,11010,"760 WASHINGTON ST
FRANKLIN SQUARE, NY 11010
(40.71163103400045, -73.66807471899966)"
280221,NASSAU,ROCKVILLE CENTRE U F S,NASSAU-SUFFOLK,2012-2013,186,15.20%,123,10%,309,25.20%,DISTRICT TOTAL,SCHOOL DISTRICT,128 SHEPHERD ST,ROCKVILLE CENTRE,NY,11570,"128 SHEPHERD ST
ROCKVILLE CENTRE, NY 11570
(40.66699367500047, -73.62350612999967)"
280221,NASSAU,ROCKVILLE CENTRE U F S,NASSAU-SUFFOLK,2012-2013,107,13.70%,85,10.90%,192,24.60%,ELEMENTARY,SCHOOL DISTRICT,128 SHEPHERD ST,ROCKVILLE CENTRE,NY,11570,"128 SHEPHERD ST
ROCKVILLE CENTRE, NY 11570
(40.66699367500047, -73.62350612999967)"
280221,NASSAU,ROCKVILLE CENTRE U F S,NASSAU-SUFFOLK,2012-2013,69,13.50%,41,8%,110,21.60%,MIDDLE/HIGH,SCHOOL DISTRICT,128 SHEPHERD ST,ROCKVILLE CENTRE,NY,11570,"128 SHEPHERD ST
ROCKVILLE CENTRE, NY 11570
(40.66699367500047, -73.62350612999967)"
280222,NASSAU,FLORAL PK-BELLROSE U F S,NASSAU-SUFFOLK,2012-2013,67,11.10%,52,8.60%,119,19.80%,DISTRICT TOTAL,SCHOOL DISTRICT,1 POPPY PL,FLORAL PARK,NY,11001,"1 POPPY PL
FLORAL PARK, NY 11001
(40.71946792400047, -73.72015726099966)"
280222,NASSAU,FLORAL PK-BELLROSE U F S,NASSAU-SUFFOLK,2012-2013,67,11.10%,52,8.60%,119,19.80%,ELEMENTARY,SCHOOL DISTRICT,1 POPPY PL,FLORAL PARK,NY,11001,"1 POPPY PL
FLORAL PARK, NY 11001
(40.71946792400047, -73.72015726099966)"
280222,NASSAU,FLORAL PK-BELLROSE U F S,NASSAU-SUFFOLK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,1 POPPY PL,FLORAL PARK,NY,11001,"1 POPPY PL
FLORAL PARK, NY 11001
(40.71946792400047, -73.72015726099966)"
280225,NASSAU,MERRICK UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,74,13.90%,42,7.90%,116,21.80%,DISTRICT TOTAL,SCHOOL DISTRICT,21 BABYLON RD,MERRICK,NY,11566,"21 BABYLON RD
MERRICK, NY 11566
(40.65397719400045, -73.55320669099967)"
280225,NASSAU,MERRICK UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,74,13.90%,42,7.90%,116,21.80%,ELEMENTARY,SCHOOL DISTRICT,21 BABYLON RD,MERRICK,NY,11566,"21 BABYLON RD
MERRICK, NY 11566
(40.65397719400045, -73.55320669099967)"
280225,NASSAU,MERRICK UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,21 BABYLON RD,MERRICK,NY,11566,"21 BABYLON RD
MERRICK, NY 11566
(40.65397719400045, -73.55320669099967)"
280227,NASSAU,WEST HEMPSTEAD U F S,NASSAU-SUFFOLK,2012-2013,110,16.70%,132,20.10%,242,36.80%,DISTRICT TOTAL,SCHOOL DISTRICT,252 CHESTNUT ST,WEST HEMPSTEAD,NY,11552,"252 CHESTNUT ST
WEST HEMPSTEAD, NY 11552
(40.69666749400045, -73.65090276299964)"
280227,NASSAU,WEST HEMPSTEAD U F S,NASSAU-SUFFOLK,2012-2013,61,17.50%,67,19.30%,128,36.80%,ELEMENTARY,SCHOOL DISTRICT,252 CHESTNUT ST,WEST HEMPSTEAD,NY,11552,"252 CHESTNUT ST
WEST HEMPSTEAD, NY 11552
(40.69666749400045, -73.65090276299964)"
280227,NASSAU,WEST HEMPSTEAD U F S,NASSAU-SUFFOLK,2012-2013,49,16.10%,65,21.40%,114,37.50%,MIDDLE/HIGH,SCHOOL DISTRICT,252 CHESTNUT ST,WEST HEMPSTEAD,NY,11552,"252 CHESTNUT ST
WEST HEMPSTEAD, NY 11552
(40.69666749400045, -73.65090276299964)"
280229,NASSAU,NORTH MERRICK U F S,NASSAU-SUFFOLK,2012-2013,66,15.50%,56,13.10%,122,28.60%,DISTRICT TOTAL,SCHOOL DISTRICT,1057 MERRICK AVE,MERRICK,NY,11566,"1057 MERRICK AVE
MERRICK, NY 11566
(40.695094387000495, -73.56501643399963)"
280229,NASSAU,NORTH MERRICK U F S,NASSAU-SUFFOLK,2012-2013,66,15.50%,56,13.10%,122,28.60%,ELEMENTARY,SCHOOL DISTRICT,1057 MERRICK AVE,MERRICK,NY,11566,"1057 MERRICK AVE
MERRICK, NY 11566
(40.695094387000495, -73.56501643399963)"
280229,NASSAU,NORTH MERRICK U F S,NASSAU-SUFFOLK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,1057 MERRICK AVE,MERRICK,NY,11566,"1057 MERRICK AVE
MERRICK, NY 11566
(40.695094387000495, -73.56501643399963)"
280230,NASSAU,VALLEY STR HEMP 30 U F S,NASSAU-SUFFOLK,2012-2013,85,16.50%,119,23.20%,204,39.70%,DISTRICT TOTAL,SCHOOL DISTRICT,175 N CENTRAL AVE,VALLEY STREAM,NY,11580,"175 N CENTRAL AVE
VALLEY STREAM, NY 11580
(40.67264840900049, -73.70907576799965)"
280230,NASSAU,VALLEY STR HEMP 30 U F S,NASSAU-SUFFOLK,2012-2013,85,16.50%,119,23.20%,204,39.70%,ELEMENTARY,SCHOOL DISTRICT,175 N CENTRAL AVE,VALLEY STREAM,NY,11580,"175 N CENTRAL AVE
VALLEY STREAM, NY 11580
(40.67264840900049, -73.70907576799965)"
280230,NASSAU,VALLEY STR HEMP 30 U F S,NASSAU-SUFFOLK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,175 N CENTRAL AVE,VALLEY STREAM,NY,11580,"175 N CENTRAL AVE
VALLEY STREAM, NY 11580
(40.67264840900049, -73.70907576799965)"
280300,NASSAU,LONG BEACH CITY SCHOOLS,NASSAU-SUFFOLK,2012-2013,198,18.40%,195,18.10%,393,36.60%,DISTRICT TOTAL,SCHOOL DISTRICT,235 LIDO BLVD,LONG BEACH,NY,11561,"235 LIDO BLVD
LONG BEACH, NY 11561
(40.587697585000456, -73.62920420099965)"
280300,NASSAU,LONG BEACH CITY SCHOOLS,NASSAU-SUFFOLK,2012-2013,90,15.10%,136,22.70%,226,37.80%,ELEMENTARY,SCHOOL DISTRICT,235 LIDO BLVD,LONG BEACH,NY,11561,"235 LIDO BLVD
LONG BEACH, NY 11561
(40.587697585000456, -73.62920420099965)"
280300,NASSAU,LONG BEACH CITY SCHOOLS,NASSAU-SUFFOLK,2012-2013,108,22.60%,59,12.40%,167,35%,MIDDLE/HIGH,SCHOOL DISTRICT,235 LIDO BLVD,LONG BEACH,NY,11561,"235 LIDO BLVD
LONG BEACH, NY 11561
(40.587697585000456, -73.62920420099965)"
280403,NASSAU,ROSLYN UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,121,12.40%,88,9%,209,21.40%,DISTRICT TOTAL,SCHOOL DISTRICT,300 HARBOR HILL RD,ROSLYN,NY,11576,"300 HARBOR HILL RD
ROSLYN, NY 11576
(40.79435402100046, -73.63989953099963)"
280403,NASSAU,ROSLYN UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,68,11.40%,45,7.50%,113,18.90%,ELEMENTARY,SCHOOL DISTRICT,300 HARBOR HILL RD,ROSLYN,NY,11576,"300 HARBOR HILL RD
ROSLYN, NY 11576
(40.79435402100046, -73.63989953099963)"
280403,NASSAU,ROSLYN UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,53,14.80%,43,12%,96,26.80%,MIDDLE/HIGH,SCHOOL DISTRICT,300 HARBOR HILL RD,ROSLYN,NY,11576,"300 HARBOR HILL RD
ROSLYN, NY 11576
(40.79435402100046, -73.63989953099963)"
280405,NASSAU,NEW HYDE PK-GARDEN CITY PK UFSD,NASSAU-SUFFOLK,2012-2013,87,11.20%,171,22%,258,33.20%,DISTRICT TOTAL,SCHOOL DISTRICT,1950 HILLSIDE AVE,NEW HYDE PARK,NY,11040,"1950 HILLSIDE AVE
NEW HYDE PARK, NY 11040
(40.75041360400047, -73.68105112199964)"
280405,NASSAU,NEW HYDE PK-GARDEN CITY PK UFSD,NASSAU-SUFFOLK,2012-2013,87,11.20%,171,22%,258,33.20%,ELEMENTARY,SCHOOL DISTRICT,1950 HILLSIDE AVE,NEW HYDE PARK,NY,11040,"1950 HILLSIDE AVE
NEW HYDE PARK, NY 11040
(40.75041360400047, -73.68105112199964)"
280405,NASSAU,NEW HYDE PK-GARDEN CITY PK UFSD,NASSAU-SUFFOLK,2012-2013,,,,,,,MIDDLE/HIGH,SCHOOL DISTRICT,1950 HILLSIDE AVE,NEW HYDE PARK,NY,11040,"1950 HILLSIDE AVE
NEW HYDE PARK, NY 11040
(40.75041360400047, -73.68105112199964)"
280407,NASSAU,GREAT NECK UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,370,12.10%,300,9.80%,670,21.90%,DISTRICT TOTAL,SCHOOL DISTRICT,345 LAKEVILLE RD,GREAT NECK,NY,11020,"345 LAKEVILLE RD
GREAT NECK, NY 11020
(40.763531180000484, -73.70460721899963)"
280407,NASSAU,GREAT NECK UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,120,10.90%,101,9.20%,221,20.10%,ELEMENTARY,SCHOOL DISTRICT,345 LAKEVILLE RD,GREAT NECK,NY,11020,"345 LAKEVILLE RD
GREAT NECK, NY 11020
(40.763531180000484, -73.70460721899963)"
280407,NASSAU,GREAT NECK UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,123,13.70%,81,9%,204,22.70%,MIDDLE/HIGH,SCHOOL DISTRICT,345 LAKEVILLE RD,GREAT NECK,NY,11020,"345 LAKEVILLE RD
GREAT NECK, NY 11020
(40.763531180000484, -73.70460721899963)"
280409,NASSAU,HERRICKS UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,177,15.50%,116,10.10%,293,25.60%,DISTRICT TOTAL,SCHOOL DISTRICT,999 B HERRICKS RD,NEW HYDE PARK,NY,11040,"999 B HERRICKS RD
NEW HYDE PARK, NY 11040
(40.74306635200048, -73.68111848499967)"
280409,NASSAU,HERRICKS UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,87,13.70%,64,10.10%,151,23.90%,ELEMENTARY,SCHOOL DISTRICT,999 B HERRICKS RD,NEW HYDE PARK,NY,11040,"999 B HERRICKS RD
NEW HYDE PARK, NY 11040
(40.74306635200048, -73.68111848499967)"
280409,NASSAU,HERRICKS UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,90,17.60%,52,10.20%,142,27.80%,MIDDLE/HIGH,SCHOOL DISTRICT,999 B HERRICKS RD,NEW HYDE PARK,NY,11040,"999 B HERRICKS RD
NEW HYDE PARK, NY 11040
(40.74306635200048, -73.68111848499967)"
280411,NASSAU,CARLE PLACE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,68,13.10%,73,14.10%,141,27.20%,DISTRICT TOTAL,SCHOOL DISTRICT,168 CHERRY LN,CARLE PLACE,NY,11514,"168 CHERRY LN
CARLE PLACE, NY 11514
(40.7541448500005, -73.60523532099967)"
280411,NASSAU,CARLE PLACE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,39,14.70%,36,13.60%,75,28.30%,ELEMENTARY,SCHOOL DISTRICT,168 CHERRY LN,CARLE PLACE,NY,11514,"168 CHERRY LN
CARLE PLACE, NY 11514
(40.7541448500005, -73.60523532099967)"
280411,NASSAU,CARLE PLACE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,29,11.70%,37,14.90%,66,26.60%,MIDDLE/HIGH,SCHOOL DISTRICT,168 CHERRY LN,CARLE PLACE,NY,11514,"168 CHERRY LN
CARLE PLACE, NY 11514
(40.7541448500005, -73.60523532099967)"
280501,NASSAU,NORTH SHORE CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,100,13.90%,76,10.60%,176,24.50%,DISTRICT TOTAL,SCHOOL DISTRICT,112 FRANKLIN AVE,SEA CLIFF,NY,11579,"112 FRANKLIN AVE
SEA CLIFF, NY 11579
(40.84678815100045, -73.64133657599967)"
280501,NASSAU,NORTH SHORE CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,72,14.80%,51,10.50%,123,25.30%,ELEMENTARY,SCHOOL DISTRICT,112 FRANKLIN AVE,SEA CLIFF,NY,11579,"112 FRANKLIN AVE
SEA CLIFF, NY 11579
(40.84678815100045, -73.64133657599967)"
280501,NASSAU,NORTH SHORE CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,28,12.20%,25,10.90%,53,23.10%,MIDDLE/HIGH,SCHOOL DISTRICT,112 FRANKLIN AVE,SEA CLIFF,NY,11579,"112 FRANKLIN AVE
SEA CLIFF, NY 11579
(40.84678815100045, -73.64133657599967)"
280503,NASSAU,LOCUST VALLEY CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,92,12.80%,76,10.60%,168,23.50%,DISTRICT TOTAL,SCHOOL DISTRICT,HORSE HOLLOW RD,LOCUST VALLEY,NY,11560,"HORSE HOLLOW RD
LOCUST VALLEY, NY 11560
(40.88616780900048, -73.59132184499964)"
280503,NASSAU,LOCUST VALLEY CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,39,10%,41,10.50%,80,20.50%,ELEMENTARY,SCHOOL DISTRICT,HORSE HOLLOW RD,LOCUST VALLEY,NY,11560,"HORSE HOLLOW RD
LOCUST VALLEY, NY 11560
(40.88616780900048, -73.59132184499964)"
280503,NASSAU,LOCUST VALLEY CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,53,16.60%,35,10.90%,88,27.50%,MIDDLE/HIGH,SCHOOL DISTRICT,HORSE HOLLOW RD,LOCUST VALLEY,NY,11560,"HORSE HOLLOW RD
LOCUST VALLEY, NY 11560
(40.88616780900048, -73.59132184499964)"
280504,NASSAU,PLAINVIEW-OLD BETHPAGE CENT-SCH,NASSAU-SUFFOLK,2012-2013,187,13.90%,139,10.30%,326,24.10%,DISTRICT TOTAL,SCHOOL DISTRICT,106 WASHINGTON AVE,PLAINVIEW,NY,11803,"106 WASHINGTON AVE
PLAINVIEW, NY 11803
(40.781002912000474, -73.46430805199964)"
280504,NASSAU,PLAINVIEW-OLD BETHPAGE CENT-SCH,NASSAU-SUFFOLK,2012-2013,90,12.40%,75,10.40%,165,22.80%,ELEMENTARY,SCHOOL DISTRICT,106 WASHINGTON AVE,PLAINVIEW,NY,11803,"106 WASHINGTON AVE
PLAINVIEW, NY 11803
(40.781002912000474, -73.46430805199964)"
280504,NASSAU,PLAINVIEW-OLD BETHPAGE CENT-SCH,NASSAU-SUFFOLK,2012-2013,97,15.50%,64,10.20%,161,25.70%,MIDDLE/HIGH,SCHOOL DISTRICT,106 WASHINGTON AVE,PLAINVIEW,NY,11803,"106 WASHINGTON AVE
PLAINVIEW, NY 11803
(40.781002912000474, -73.46430805199964)"
280506,NASSAU,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,89,18.20%,59,12%,148,30.20%,DISTRICT TOTAL,SCHOOL DISTRICT,1 MCCOUNS LN,OYSTER BAY,NY,11771,"1 MCCOUNS LN
OYSTER BAY, NY 11771
(40.871214111000484, -73.52500178499963)"
280506,NASSAU,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,55,18.90%,35,12%,90,30.90%,ELEMENTARY,SCHOOL DISTRICT,1 MCCOUNS LN,OYSTER BAY,NY,11771,"1 MCCOUNS LN
OYSTER BAY, NY 11771
(40.871214111000484, -73.52500178499963)"
280506,NASSAU,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL,NASSAU-SUFFOLK,2012-2013,34,17.20%,15,7.60%,49,24.70%,MIDDLE/HIGH,SCHOOL DISTRICT,1 MCCOUNS LN,OYSTER BAY,NY,11771,"1 MCCOUNS LN
OYSTER BAY, NY 11771
(40.871214111000484, -73.52500178499963)"
280515,NASSAU,JERICHO UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,133,12.90%,104,10%,237,22.90%,DISTRICT TOTAL,SCHOOL DISTRICT,99 CEDAR SWAMP RD,JERICHO,NY,11753,"99 CEDAR SWAMP RD
JERICHO, NY 11753
(40.79668077500048, -73.54205076399967)"
280515,NASSAU,JERICHO UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,63,12.20%,49,9.50%,112,21.70%,ELEMENTARY,SCHOOL DISTRICT,99 CEDAR SWAMP RD,JERICHO,NY,11753,"99 CEDAR SWAMP RD
JERICHO, NY 11753
(40.79668077500048, -73.54205076399967)"
280515,NASSAU,JERICHO UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,70,13.60%,55,10.70%,125,24.20%,MIDDLE/HIGH,SCHOOL DISTRICT,99 CEDAR SWAMP RD,JERICHO,NY,11753,"99 CEDAR SWAMP RD
JERICHO, NY 11753
(40.79668077500048, -73.54205076399967)"
280517,NASSAU,HICKSVILLE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,194,13.20%,290,19.80%,484,33%,DISTRICT TOTAL,SCHOOL DISTRICT,200 DIVISION AVE-ADM,HICKSVILLE,NY,11801,"200 DIVISION AVE-ADM
HICKSVILLE, NY 11801
(40.758476121000456, -73.52486623499965)"
280517,NASSAU,HICKSVILLE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,92,11.90%,145,18.80%,237,30.80%,ELEMENTARY,SCHOOL DISTRICT,200 DIVISION AVE-ADM,HICKSVILLE,NY,11801,"200 DIVISION AVE-ADM
HICKSVILLE, NY 11801
(40.758476121000456, -73.52486623499965)"
280517,NASSAU,HICKSVILLE UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,102,14.70%,145,20.80%,247,35.50%,MIDDLE/HIGH,SCHOOL DISTRICT,200 DIVISION AVE-ADM,HICKSVILLE,NY,11801,"200 DIVISION AVE-ADM
HICKSVILLE, NY 11801
(40.758476121000456, -73.52486623499965)"
280523,NASSAU,MASSAPEQUA UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,429,17.30%,303,12.20%,732,29.50%,DISTRICT TOTAL,SCHOOL DISTRICT,4925 MERRICK RD,MASSAPEQUA,NY,11758,"4925 MERRICK RD
MASSAPEQUA, NY 11758
(40.666491660000474, -73.45372101299967)"
280523,NASSAU,MASSAPEQUA UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,205,15.90%,165,12.80%,370,28.70%,ELEMENTARY,SCHOOL DISTRICT,4925 MERRICK RD,MASSAPEQUA,NY,11758,"4925 MERRICK RD
MASSAPEQUA, NY 11758
(40.666491660000474, -73.45372101299967)"
280523,NASSAU,MASSAPEQUA UNION FREE SCHOOL,NASSAU-SUFFOLK,2012-2013,224,18.80%,138,11.60%,362,30.30%,MIDDLE/HIGH,SCHOOL DISTRICT,4925 MERRICK RD,MASSAPEQUA,NY,11758,"4925 MERRICK RD
MASSAPEQUA, NY 11758
(40.666491660000474, -73.45372101299967)"
400301,NIAGARA,LEWISTON PORTER CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,129,16.70%,133,17.30%,262,34%,DISTRICT TOTAL,SCHOOL DISTRICT,4061 CREEK RD,YOUNGSTOWN,NY,14174,"4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21719486000046, -79.01770947299968)"
400301,NIAGARA,LEWISTON PORTER CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,67,16%,58,13.90%,125,29.90%,ELEMENTARY,SCHOOL DISTRICT,4061 CREEK RD,YOUNGSTOWN,NY,14174,"4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21719486000046, -79.01770947299968)"
400301,NIAGARA,LEWISTON PORTER CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,62,18.30%,75,22.10%,137,40.40%,MIDDLE/HIGH,SCHOOL DISTRICT,4061 CREEK RD,YOUNGSTOWN,NY,14174,"4061 CREEK RD
YOUNGSTOWN, NY 14174
(43.21719486000046, -79.01770947299968)"
400400,NIAGARA,LOCKPORT CITY SCHOOLS,WESTERN NEW YORK,2012-2013,410,20.70%,359,18.10%,769,38.80%,DISTRICT TOTAL,SCHOOL DISTRICT,130 BEATTIE AVE,LOCKPORT,NY,14094,"130 BEATTIE AVE
LOCKPORT, NY 14094
(43.160840822000466, -78.68047351699965)"
400400,NIAGARA,LOCKPORT CITY SCHOOLS,WESTERN NEW YORK,2012-2013,151,13.80%,197,18%,348,31.80%,ELEMENTARY,SCHOOL DISTRICT,130 BEATTIE AVE,LOCKPORT,NY,14094,"130 BEATTIE AVE
LOCKPORT, NY 14094
(43.160840822000466, -78.68047351699965)"
400400,NIAGARA,LOCKPORT CITY SCHOOLS,WESTERN NEW YORK,2012-2013,259,29.20%,162,18.30%,421,47.50%,MIDDLE/HIGH,SCHOOL DISTRICT,130 BEATTIE AVE,LOCKPORT,NY,14094,"130 BEATTIE AVE
LOCKPORT, NY 14094
(43.160840822000466, -78.68047351699965)"
401001,NIAGARA,STAR POINT CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,132,14.70%,148,16.50%,280,31.20%,DISTRICT TOTAL,SCHOOL DISTRICT,4363 MAPLETON RD,LOCKPORT,NY,14094,"4363 MAPLETON RD
LOCKPORT, NY 14094
(43.12298721100046, -78.80749184499967)"
401001,NIAGARA,STAR POINT CENTRAL SCHOOL,WESTERN NEW YORK,2012-2013,79,15.70%,67,13.30%,146,29%,ELEMENTARY,SCHOOL DISTRICT,4363 MAPLETON RD,LOCKPORT,NY,14094,"4363 MAPLETON RD
LOCKPORT, NY 14094
(43.12298721100046, -78.80749184499967)"
